Area,Year,Dry,Wet/Damp,Frost/Ice,Snow,Flood (Over 3cm of water),Total
Greater London,2009,18211,4468,280,154.0,11.0,23124.0
Surrey,2009,2762,1058,249,30.0,9.0,4108.0
Essex,2009,2386,995,117,44.0,8.0,3550.0
Kent,2009,3509,1302,201,41.0,9.0,5062.0
Hertfordshire,2009,1878,849,114,48.0,14.0,2903.0
North Yorkshire,2009,1020,452,63,44.0,6.0,1585.0
Lancashire,2009,2387,1245,98,58.0,3.0,3791.0
Manchester,2009,1455,665,32,18.0,2.0,2172.0
Hampshire,2009,2281,896,171,26.0,5.0,3379.0
Devon,2009,1362,657,98,23.0,6.0,2146.0
Greater London,2010,18614,4642,482,237.0,7.0,23982.0
Surrey,2010,2480,1027,242,69.0,9.0,3827.0
Essex,2010,2170,942,158,55.0,4.0,3329.0
Kent,2010,3274,1202,193,122.0,5.0,4796.0
Hertfordshire,2010,1789,774,175,56.0,3.0,2797.0
North Yorkshire,2010,903,366,98,52.0,2.0,1421.0
Lancashire,2010,2356,961,243,67.0,1.0,3628.0
Manchester,2010,1267,472,66,32.0,0.0,1837.0
Hampshire,2010,2400,844,139,27.0,4.0,3414.0
Devon,2010,1319,495,92,29.0,1.0,1936.0
Greater London,2011,20142,4045,51,6.0,6.0,24250.0
Essex,2011,2450,907,50,1.0,3.0,3411.0
Kent,2011,3603,1128,60,2.0,4.0,4797.0
Hertfordshire,2011,2015,695,46,0.0,2.0,2758.0
Surrey,2011,2909,1082,73,2.0,2.0,4068.0
North Yorkshire,2011,930,375,49,9.0,5.0,1368.0
Lancashire,2011,2272,994,59,16.0,7.0,3348.0
Manchester,2011,1266,508,12,2.0,0.0,1788.0
Hampshire,2011,2599,880,69,0.0,2.0,3550.0
Devon,2011,1392,548,33,0.0,0.0,1973.0
Greater London,2012,18677,4909,204,63.0,7.0,23860.0
Surrey,2012,2592,1274,84,23.0,8.0,3981.0
Essex,2012,2184,1095,63,13.0,6.0,3361.0
Kent,2012,3178,1376,100,18.0,8.0,4680.0
Hertfordshire,2012,1800,885,67,16.0,9.0,2777.0
North Yorkshire,2012,899,446,59,24.0,12.0,1440.0
Lancashire,2012,1986,1079,81,10.0,10.0,3166.0
Manchester,2012,950,532,11,1.0,1.0,1495.0
Hampshire,2012,2223,1008,58,4.0,6.0,3299.0
Devon,2012,1175,704,34,1.0,7.0,1921.0
Greater London,2013,18437,4186,120,137.0,13.0,22893.0
Surrey,2013,2635,1017,81,34.0,7.0,3774.0
Essex,2013,2174,975,68,35.0,2.0,3254.0
Kent,2013,3314,1334,108,62.0,8.0,4826.0
Hertfordshire,2013,1643,731,35,30.0,3.0,2442.0
North Yorkshire,2013,959,349,43,35.0,3.0,1389.0
Lancashire,2013,2053,853,61,39.0,2.0,3008.0
Manchester,2013,921,408,10,6.0,0.0,1345.0
Hampshire,2013,2193,850,68,22.0,12.0,3145.0
Devon,2013,1199,560,41,4.0,3.0,1807.0
Greater London,2014,20905,4867,77,2.0,16.0,25867.0
Surrey,2014,2738,1150,65,0.0,8.0,3961.0
Essex,2014,2372,1065,37,0.0,5.0,3479.0
Kent,2014,3683,1483,58,3.0,8.0,5235.0
Hertfordshire,2014,1830,836,26,1.0,7.0,2700.0
North Yorkshire,2014,913,408,24,2.0,2.0,1349.0
Lancashire,2014,2203,918,34,4.0,4.0,3163.0
Manchester,2014,885,456,4,1.0,2.0,1348.0
Hampshire,2014,2166,1001,51,0.0,4.0,3222.0
Devon,2014,1226,606,34,1.0,2.0,1869.0
