Area,Year,Fine without high winds,Other,Raining without high winds,Snowing without high winds,Fine with high winds,Raining with high winds,Unknown,Snowing with high winds,Fog or mist,Total
Greater London,2009,19736,389,2355,178.0,173,143,99,23.0,28.0,23124.0
Surrey,2009,3103,202,419,31.0,37,69,234,4.0,9.0,4108.0
Essex,2009,2772,168,415,53.0,41,46,21,5.0,28.0,3549.0
Kent,2009,3943,172,549,35.0,81,77,161,11.0,37.0,5066.0
Hertfordshire,2009,2223,164,364,51.0,41,41,6,8.0,5.0,2903.0
North Yorkshire,2009,1288,28,158,26.0,29,16,13,7.0,19.0,1584.0
Lancashire,2009,2959,88,513,57.0,54,59,42,5.0,14.0,3791.0
Manchester,2009,1536,37,334,21.0,27,28,185,3.0,1.0,2172.0
Hampshire,2009,2719,71,414,36.0,44,74,4,3.0,14.0,3379.0
Devon,2009,1631,65,300,21.0,33,64,6,4.0,9.0,2133.0
Greater London,2010,20566,355,2413,316.0,81,103,84,25.0,39.0,23982.0
Surrey,2010,2903,163,442,70.0,21,25,180,4.0,19.0,3827.0
Essex,2010,2621,165,369,62.0,20,25,33,3.0,31.0,3329.0
Kent,2010,3672,140,540,116.0,51,53,161,22.0,42.0,4797.0
Hertfordshire,2010,2209,152,315,71.0,12,14,3,3.0,18.0,2797.0
North Yorkshire,2010,1152,37,113,46.0,17,16,12,7.0,21.0,1421.0
Lancashire,2010,2926,117,381,61.0,28,49,44,2.0,26.0,3634.0
Manchester,2010,1400,39,217,30.0,9,10,125,4.0,3.0,1837.0
Hampshire,2010,2844,55,389,38.0,30,32,4,3.0,19.0,3414.0
Devon,2010,1581,49,196,18.0,20,28,3,7.0,9.0,1911.0
Greater London,2011,21457,147,2230,8.0,188,101,80,2.0,37.0,24250.0
Essex,2011,2831,124,355,2.0,35,16,19,2.0,27.0,3411.0
Kent,2011,3919,87,461,1.0,63,57,180,1.0,36.0,4805.0
Hertfordshire,2011,2331,68,292,1.0,32,12,13,0.0,9.0,2758.0
Surrey,2011,3210,102,463,3.0,37,37,198,0.0,18.0,4068.0
North Yorkshire,2011,1144,25,127,9.0,33,11,15,2.0,3.0,1369.0
Lancashire,2011,2684,62,409,16.0,57,65,47,2.0,15.0,3357.0
Manchester,2011,1334,29,240,3.0,17,25,134,2.0,4.0,1788.0
Hampshire,2011,3020,30,390,0.0,34,62,6,0.0,8.0,3550.0
Devon,2011,1618,32,212,2.0,26,32,37,1.0,13.0,1973.0
Greater London,2012,20268,199,2783,71.0,137,156,195,7.0,46.0,23862.0
Surrey,2012,2978,116,571,15.0,30,42,221,3.0,26.0,4002.0
Essex,2012,2628,121,476,19.0,25,51,14,0.0,29.0,3363.0
Kent,2012,3556,97,633,21.0,73,94,165,1.0,42.0,4682.0
Hertfordshire,2012,2165,89,370,15.0,22,43,50,1.0,22.0,2777.0
North Yorkshire,2012,1159,30,163,17.0,12,25,8,5.0,21.0,1440.0
Lancashire,2012,2455,59,516,14.0,15,63,43,0.0,7.0,3172.0
Manchester,2012,1077,24,273,3.0,9,28,75,0.0,6.0,1495.0
Hampshire,2012,2683,21,482,2.0,29,57,6,0.0,19.0,3299.0
Devon,2012,1482,32,283,1.0,29,44,33,1.0,16.0,1921.0
Greater London,2013,19534,205,2219,163.0,156,212,355,21.0,31.0,22896.0
Surrey,2013,2964,70,399,42.0,32,48,240,9.0,23.0,3827.0
Essex,2013,2668,101,338,44.0,27,30,8,8.0,30.0,3254.0
Kent,2013,3698,97,522,52.0,80,107,208,37.0,27.0,4828.0
Hertfordshire,2013,1898,76,285,36.0,29,32,63,5.0,18.0,2442.0
North Yorkshire,2013,1187,26,91,22.0,22,10,14,11.0,6.0,1389.0
Lancashire,2013,2478,40,314,34.0,31,62,33,16.0,10.0,3018.0
Manchester,2013,1039,20,193,12.0,22,22,33,3.0,1.0,1345.0
Hampshire,2013,2639,16,342,23.0,34,54,14,10.0,13.0,3145.0
Devon,2013,1443,35,220,8.0,31,39,10,5.0,16.0,1807.0
Greater London,2014,22118,270,2567,7.0,141,190,553,0.0,21.0,25867.0
Surrey,2014,3215,73,477,1.0,23,56,147,0.0,22.0,4014.0
Essex,2014,2868,74,432,5.0,26,32,17,1.0,24.0,3479.0
Kent,2014,4115,78,640,2.0,60,103,197,0.0,41.0,5236.0
Hertfordshire,2014,2159,59,351,0.0,26,37,56,1.0,11.0,2700.0
North Yorkshire,2014,1143,11,128,3.0,20,20,6,1.0,17.0,1349.0
Lancashire,2014,2642,54,344,2.0,34,61,21,1.0,7.0,3166.0
Manchester,2014,1060,19,210,3.0,11,27,18,0.0,0.0,1348.0
Hampshire,2014,2672,16,398,3.0,37,60,16,3.0,17.0,3222.0
Devon,2014,1501,35,235,0.0,25,47,12,2.0,12.0,1869.0
